Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XMR,2018-07-18,139.2718909085,143.4788036936,148.9179976239,138.7724564224
XMR,2018-07-19,140.1717717639,139.2717967082,143.8020768787,138.4736971453
XMR,2018-07-20,129.3854972385,140.1722902392,140.4868018867,128.5313307807
XMR,2018-07-21,132.3780226253,129.359625089,132.9106372952,127.1028914231
XMR,2018-07-22,129.0347387466,132.394563454,133.8138588921,127.9307681034
XMR,2018-07-23,133.8842616684,128.2511868074,143.0506206771,128.0252500097
XMR,2018-07-24,147.8605835148,133.8868370357,148.402444941,132.9805843574
XMR,2018-07-25,142.6954829073,147.8309989357,149.2210280815,138.3425131733
XMR,2018-07-26,137.6245553355,142.6891626974,145.0419505369,136.6099187136
XMR,2018-07-27,141.0748078136,137.6726598988,142.6267843616,134.8867585254
XMR,2018-07-28,139.6291263205,140.8588400691,141.5312455795,138.2929857427
XMR,2018-07-29,135.2969224337,139.6324659008,141.4157129612,135.0101592662
XMR,2018-07-30,132.6756680031,135.4955962503,136.4630130834,128.9143957877
XMR,2018-07-31,121.9741297152,132.6942277303,134.5670882275,121.2923932135
XMR,2018-08-01,126.6056203269,121.8912910909,130.2027790857,119.5093248576
XMR,2018-08-02,122.8653702384,126.6057821723,130.5796300913,120.7012213898
XMR,2018-08-03,120.1443896477,122.2073460778,122.5169802997,115.0205001805
XMR,2018-08-04,114.0668717147,120.1480181724,121.1257218905,113.4722709071
XMR,2018-08-05,117.3102182912,114.13190527,117.8120843567,111.5873713303
XMR,2018-08-06,112.978886357,117.3102331019,119.7684076877,112.3521655456
XMR,2018-08-07,108.7781200795,112.978680237,118.175775839,107.6343456764
XMR,2018-08-08,93.2254505564,107.4594965141,108.2013570494,93.1526380509
XMR,2018-08-09,101.3581218309,93.2020530288,102.2093506975,92.9334939032
XMR,2018-08-10,91.2645260894,101.3523387454,101.4081588917,91.2645260894
XMR,2018-08-11,94.9041585541,92.5299610185,97.010198305,88.0520963925
XMR,2018-08-12,93.6630449778,94.9055878024,96.2939301018,91.7854849974
XMR,2018-08-13,89.2280601591,93.6631858025,97.222070569,88.9399882805
XMR,2018-08-14,83.8015194757,89.2054644877,89.25101001,78.5253940844
XMR,2018-08-15,91.7117849449,84.3492152267,94.2432903091,84.3077940243
XMR,2018-08-16,90.4850341079,91.7119783237,92.9061577817,88.6205604992
XMR,2018-08-17,101.0467492659,90.496276224,101.076015833,90.3039363602
XMR,2018-08-18,98.1560657321,100.9931341676,104.7003516152,94.7279445743
XMR,2018-08-19,98.6776587948,97.9666332418,98.8737129878,94.7046124326
XMR,2018-08-20,95.5223404419,98.6775409133,102.5037507015,94.8464442737
XMR,2018-08-21,94.3905586365,92.3290823349,96.4157464836,91.8447618807
XMR,2018-08-22,89.3841213619,94.3909620064,98.9470220666,87.8070718046
XMR,2018-08-23,89.6807395961,89.8106649374,91.3575044748,88.5021737654
XMR,2018-08-24,93.9642891479,90.0243287687,94.105938286,88.3976883166
XMR,2018-08-25,92.7930173357,93.580860819,96.48319461,91.9473884659
XMR,2018-08-26,94.642558422,92.7930558576,94.8479437583,91.030024757
XMR,2018-08-27,101.6571277414,94.9613061552,102.9111324272,93.3635420549
XMR,2018-08-28,107.3480622157,101.6828505304,107.4669845347,101.3166616632
XMR,2018-08-29,103.7756532886,107.5414552758,108.3352210842,100.636777706
XMR,2018-08-30,101.4959183623,103.2747113815,106.528446944,97.0324923997
XMR,2018-08-31,115.0689209771,101.4963904885,117.0185244059,101.4848081009
XMR,2018-09-01,122.8960014076,115.0689209771,124.5203322003,114.4688620877
XMR,2018-09-02,122.5033608938,122.8946641941,125.1562185385,116.4375179846
XMR,2018-09-03,134.1612848522,122.5053235398,135.9777856871,119.0640071671
XMR,2018-09-04,137.5556816693,135.7160240088,140.184886658,134.7843070043
XMR,2018-09-05,119.3507335899,137.7424297724,140.1729559568,116.3806024925
XMR,2018-09-06,115.2226440824,119.3490033251,119.8587428472,108.401273934
XMR,2018-09-07,113.1355387468,117.5911177039,119.8999584723,110.1401350758
XMR,2018-09-08,103.1581559883,113.1347881892,114.2216621613,101.5581036578
XMR,2018-09-09,106.3496270167,104.107697808,111.1115320842,100.916644662
XMR,2018-09-10,105.513263438,106.3442394131,109.1240158693,104.1268441846
XMR,2018-09-11,105.3816779299,105.5669127676,109.2193155927,101.5232581082
XMR,2018-09-12,104.9363108676,105.3676180329,105.8971150177,97.2093106398
XMR,2018-09-13,111.1520679416,104.5942826547,115.7551927009,104.5364773366
XMR,2018-09-14,115.4788109863,111.1545529654,115.5413952389,109.218131726
XMR,2018-09-15,117.127685069,115.3238232657,119.7516680253,115.069302834
XMR,2018-09-16,114.5813139487,116.6724214684,116.7503382344,112.59076024
XMR,2018-09-17,109.1622633477,114.5812038781,117.1701786619,108.303191532
XMR,2018-09-18,112.1828652018,109.1627752538,112.9121901025,104.7741283153
XMR,2018-09-19,109.3265124308,111.5626234008,112.2602745693,106.0936330725
XMR,2018-09-20,115.9519305768,109.593002,116.3027174732,109.4880025
XMR,2018-09-21,120.2639697182,115.9519305768,122.7657151316,115.1954502238
XMR,2018-09-22,120.1863122821,120.2638847436,121.3543555,116.8563959753
XMR,2018-09-23,120.0090087151,120.186312283,124.5276738093,117.9427651942
XMR,2018-09-24,114.1431666652,120.0053746851,120.4602848529,112.1137557772
XMR,2018-09-25,113.2402105156,114.1431830481,116.8720655466,111.3452289812
XMR,2018-09-26,115.2382935091,113.2233217727,117.7388643803,113.219072557
XMR,2018-09-27,119.1630798908,115.2395504042,121.7379704933,113.5986558021
XMR,2018-09-28,114.6944735303,119.1651607724,121.8762521797,114.4538445238
XMR,2018-09-29,115.5450107461,114.6913040378,117.5263821798,112.1649556354
