Date,attention,attention_scaled
1/31/2019,3,0.03
2/1/2019,6,0.06
2/2/2019,2,0.02
2/3/2019,6,0.06
2/4/2019,5,0.05
2/5/2019,10,0.1
2/6/2019,7,0.07
2/7/2019,5,0.05
2/8/2019,7,0.07
2/9/2019,5,0.05
2/10/2019,3,0.03
2/11/2019,4,0.04
2/12/2019,7,0.07
2/13/2019,6,0.06
2/14/2019,6,0.06
2/15/2019,8,0.08
2/16/2019,5,0.05
2/17/2019,3,0.03
2/18/2019,8,0.08
2/19/2019,8,0.08
2/20/2019,11,0.11
2/21/2019,12,0.12
2/22/2019,4,0.04
2/23/2019,9,0.09
2/24/2019,3,0.03
2/25/2019,6,0.06
2/26/2019,5,0.05
2/27/2019,6,0.06
2/28/2019,6,0.06
3/1/2019,6,0.06
3/2/2019,4,0.04
3/3/2019,2,0.02
3/4/2019,4,0.04
3/5/2019,7,0.07
3/6/2019,9,0.09
3/7/2019,5,0.05
3/8/2019,6,0.06
3/9/2019,5,0.05
3/10/2019,9,0.09
3/11/2019,9,0.09
3/12/2019,9,0.09
3/13/2019,8,0.08
3/14/2019,10,0.1
3/15/2019,8,0.08
3/16/2019,5,0.05
3/17/2019,6,0.06
3/18/2019,13,0.13
3/19/2019,15,0.15
3/20/2019,10,0.1
3/21/2019,8,0.08
3/22/2019,9,0.09
3/23/2019,8,0.08
3/24/2019,4,0.04
3/25/2019,8,0.08
3/26/2019,10,0.1
3/27/2019,10,0.1
3/28/2019,13,0.13
3/29/2019,8,0.08
3/30/2019,7,0.07
3/31/2019,5,0.05
4/1/2019,7,0.07
4/2/2019,12,0.12
4/3/2019,14,0.14
4/4/2019,11,0.11
4/5/2019,9,0.09
4/6/2019,10,0.1
4/7/2019,11,0.11
4/8/2019,11,0.11
4/9/2019,7,0.07
4/10/2019,8,0.08
4/11/2019,9,0.09
4/12/2019,5,0.05
4/13/2019,5,0.05
4/14/2019,4,0.04
4/15/2019,8,0.08
4/16/2019,7,0.07
4/17/2019,9,0.09
4/18/2019,7,0.07
4/19/2019,6,0.06
4/20/2019,9,0.09
4/21/2019,6,0.06
4/22/2019,8,0.08
4/23/2019,9,0.09
4/24/2019,12,0.12
4/25/2019,7,0.07
4/26/2019,7,0.07
4/27/2019,6,0.06
4/28/2019,6,0.06
4/29/2019,10,0.1
4/30/2019,13,0.13
5/1/2019,10,0.1
5/2/2019,6,0.06
5/3/2019,12,0.12
5/4/2019,11,0.11
5/5/2019,8,0.08
5/6/2019,7,0.07
5/7/2019,9,0.09
5/8/2019,8,0.08
5/9/2019,10,0.1
5/10/2019,8,0.08
5/11/2019,9,0.09
5/12/2019,7,0.07
5/13/2019,13,0.13
5/14/2019,12,0.12
5/15/2019,14,0.14
5/16/2019,20,0.2
5/17/2019,9,0.09
5/18/2019,7,0.07
5/19/2019,13,0.13
5/20/2019,11,0.11
5/21/2019,9,0.09
5/22/2019,7,0.07
5/23/2019,8,0.08
5/24/2019,11,0.11
5/25/2019,7,0.07
5/26/2019,5,0.05
5/27/2019,9,0.09
5/28/2019,11,0.11
5/29/2019,9,0.09
5/30/2019,12,0.12
5/31/2019,8,0.08
6/1/2019,9,0.09
6/2/2019,11,0.11
6/3/2019,7,0.07
6/4/2019,8,0.08
6/5/2019,8,0.08
6/6/2019,10,0.1
6/7/2019,7,0.07
6/8/2019,8,0.08
6/9/2019,7,0.07
6/10/2019,9,0.09
6/11/2019,9,0.09
6/12/2019,12,0.12
6/13/2019,11,0.11
6/14/2019,8,0.08
6/15/2019,9,0.09
6/16/2019,8,0.08
6/17/2019,6,0.06
6/18/2019,9,0.09
6/19/2019,7,0.07
6/20/2019,8,0.08
6/21/2019,10,0.1
6/22/2019,6,0.06
6/23/2019,7,0.07
6/24/2019,8,0.08
6/25/2019,8,0.08
6/26/2019,7,0.07
6/27/2019,10,0.1
6/28/2019,8,0.08
6/29/2019,7,0.07
6/30/2019,5,0.05
7/1/2019,7,0.07
7/2/2019,4,0.04
7/3/2019,3,0.03
7/4/2019,4,0.04
7/5/2019,7,0.07
7/6/2019,4,0.04
7/7/2019,5,0.05
7/8/2019,9,0.09
7/9/2019,6,0.06
7/10/2019,7,0.07
7/11/2019,4,0.04
7/12/2019,5,0.05
7/13/2019,5,0.05
7/14/2019,7,0.07
7/15/2019,6,0.06
7/16/2019,4,0.04
7/17/2019,5,0.05
7/18/2019,8,0.08
7/19/2019,8,0.08
7/20/2019,15,0.15
7/21/2019,6,0.06
7/22/2019,6,0.06
7/23/2019,6,0.06
7/24/2019,3,0.03
7/25/2019,6,0.06
7/26/2019,6,0.06
7/27/2019,4,0.04
7/28/2019,6,0.06
7/29/2019,4,0.04
7/30/2019,4,0.04
7/31/2019,4,0.04
8/1/2019,2,0.02
8/2/2019,5,0.05
8/3/2019,5,0.05
8/4/2019,4,0.04
8/5/2019,7,0.07
8/6/2019,2,0.02
8/7/2019,5,0.05
8/8/2019,4,0.04
8/9/2019,5,0.05
8/10/2019,4,0.04
8/11/2019,6,0.06
8/12/2019,5,0.05
8/13/2019,3,0.03
8/14/2019,6,0.06
8/15/2019,4,0.04
8/16/2019,6,0.06
8/17/2019,6,0.06
8/18/2019,3,0.03
8/19/2019,4,0.04
8/20/2019,5,0.05
8/21/2019,5,0.05
8/22/2019,5,0.05
8/23/2019,5,0.05
8/24/2019,3,0.03
8/25/2019,5,0.05
8/26/2019,5,0.05
8/27/2019,3,0.03
8/28/2019,6,0.06
8/29/2019,5,0.05
8/30/2019,2,0.02
8/31/2019,2,0.02
9/1/2019,3,0.03
9/2/2019,3,0.03
9/3/2019,5,0.05
9/4/2019,4,0.04
9/5/2019,4,0.04
9/6/2019,3,0.03
9/7/2019,4,0.04
9/8/2019,3,0.03
9/9/2019,3,0.03
9/10/2019,6,0.06
9/11/2019,8,0.08
9/12/2019,5,0.05
9/13/2019,4,0.04
9/14/2019,4,0.04
9/15/2019,3,0.03
9/16/2019,7,0.07
9/17/2019,5,0.05
9/18/2019,19,0.19
9/19/2019,10,0.1
9/20/2019,7,0.07
9/21/2019,6,0.06
9/22/2019,6,0.06
9/23/2019,6,0.06
9/24/2019,6,0.06
9/25/2019,7,0.07
9/26/2019,7,0.07
9/27/2019,6,0.06
9/28/2019,5,0.05
9/29/2019,2,0.02
9/30/2019,5,0.05
10/1/2019,3,0.03
10/2/2019,4,0.04
10/3/2019,5,0.05
10/4/2019,3,0.03
10/5/2019,5,0.05
10/6/2019,2,0.02
10/7/2019,6,0.06
10/8/2019,4,0.04
10/9/2019,5,0.05
10/10/2019,3,0.03
10/11/2019,4,0.04
10/12/2019,3,0.03
10/13/2019,5,0.05
10/14/2019,6,0.06
10/15/2019,7,0.07
10/16/2019,5,0.05
10/17/2019,6,0.06
10/18/2019,4,0.04
10/19/2019,3,0.03
10/20/2019,5,0.05
10/21/2019,5,0.05
10/22/2019,6,0.06
10/23/2019,5,0.05
10/24/2019,3,0.03
10/25/2019,6,0.06
10/26/2019,4,0.04
10/27/2019,3,0.03
10/28/2019,6,0.06
10/29/2019,4,0.04
10/30/2019,4,0.04
10/31/2019,4,0.04
11/1/2019,10,0.1
11/2/2019,3,0.03
11/3/2019,5,0.05
11/4/2019,7,0.07
11/5/2019,23,0.23
11/6/2019,10,0.1
11/7/2019,8,0.08
11/8/2019,4,0.04
11/9/2019,5,0.05
11/10/2019,8,0.08
11/11/2019,7,0.07
11/12/2019,10,0.1
11/13/2019,5,0.05
11/14/2019,5,0.05
11/15/2019,6,0.06
11/16/2019,5,0.05
11/17/2019,8,0.08
11/18/2019,7,0.07
11/19/2019,6,0.06
11/20/2019,8,0.08
11/21/2019,6,0.06
11/22/2019,3,0.03
11/23/2019,4,0.04
11/24/2019,4,0.04
11/25/2019,5,0.05
11/26/2019,5,0.05
11/27/2019,5,0.05
11/28/2019,5,0.05
11/29/2019,3,0.03
11/30/2019,3,0.03
12/1/2019,3,0.03
12/2/2019,4,0.04
12/3/2019,4,0.04
12/4/2019,2,0.02
12/5/2019,3,0.03
12/6/2019,5,0.05
12/7/2019,4,0.04
12/8/2019,3,0.03
12/9/2019,3,0.03
12/10/2019,4,0.04
12/11/2019,3,0.03
12/12/2019,4,0.04
12/13/2019,5,0.05
12/14/2019,4,0.04
12/15/2019,4,0.04
12/16/2019,6,0.06
12/17/2019,6,0.06
12/18/2019,6,0.06
12/19/2019,5,0.05
12/20/2019,6,0.06
12/21/2019,3,0.03
12/22/2019,5,0.05
12/23/2019,4,0.04
12/24/2019,3,0.03
12/25/2019,2,0.02
12/26/2019,4,0.04
12/27/2019,2,0.02
12/28/2019,4,0.04
12/29/2019,4,0.04
12/30/2019,2,0.02
12/31/2019,5,0.05
1/1/2020,4,0.04
1/2/2020,3,0.03
1/3/2020,3,0.03
1/4/2020,5,0.05
1/5/2020,2,0.02
1/6/2020,5,0.05
1/7/2020,3,0.03
1/8/2020,7,0.07
1/9/2020,3,0.03
1/10/2020,6,0.06
1/11/2020,3,0.03
1/12/2020,2,0.02
1/13/2020,3,0.03
1/14/2020,7,0.07
1/15/2020,5,0.05
1/16/2020,5,0.05
1/17/2020,6,0.06
1/18/2020,6,0.06
1/19/2020,4,0.04
1/20/2020,5,0.05
1/21/2020,5,0.05
1/22/2020,4,0.04
1/23/2020,6,0.06
1/24/2020,2,0.02
1/25/2020,5,0.05
1/26/2020,4,0.04
1/27/2020,3,0.03
1/28/2020,4,0.04
1/29/2020,4,0.04
1/30/2020,2,0.02
1/31/2020,6,0.06
2/1/2020,4,0.04
2/2/2020,2,0.02
2/3/2020,3,0.03
2/4/2020,7,0.07
2/5/2020,7,0.07
2/6/2020,5,0.05
2/7/2020,6,0.06
2/8/2020,2,0.02
2/9/2020,5,0.05
2/10/2020,3,0.03
2/11/2020,6,0.06
2/12/2020,11,0.11
2/13/2020,11,0.11
2/14/2020,5,0.05
2/15/2020,5,0.05
2/16/2020,5,0.05
2/17/2020,4,0.04
2/18/2020,5,0.05
2/19/2020,6,0.06
2/20/2020,4,0.04
2/21/2020,5,0.05
2/22/2020,4,0.04
2/23/2020,2,0.02
2/24/2020,2,0.02
2/25/2020,2,0.02
2/26/2020,3,0.03
2/27/2020,2,0.02
2/28/2020,6,0.06
2/29/2020,4,0.04
3/1/2020,3,0.03
3/2/2020,5,0.05
3/3/2020,4,0.04
3/4/2020,4,0.04
3/5/2020,4,0.04
3/6/2020,2,0.02
3/7/2020,3,0.03
3/8/2020,4,0.04
3/9/2020,4,0.04
3/10/2020,3,0.03
3/11/2020,3,0.03
3/12/2020,2,0.02
3/13/2020,5,0.05
3/14/2020,3,0.03
3/15/2020,1,0.01
3/16/2020,4,0.04
3/17/2020,4,0.04
3/18/2020,3,0.03
3/19/2020,3,0.03
3/20/2020,2,0.02
3/21/2020,3,0.03
3/22/2020,5,0.05
3/23/2020,3,0.03
3/24/2020,3,0.03
3/25/2020,3,0.03
3/26/2020,5,0.05
3/27/2020,3,0.03
3/28/2020,2,0.02
3/29/2020,3,0.03
3/30/2020,3,0.03
3/31/2020,3,0.03
4/1/2020,4,0.04
4/2/2020,4,0.04
4/3/2020,3,0.03
4/4/2020,4,0.04
4/5/2020,5,0.05
4/6/2020,6,0.06
4/7/2020,6,0.06
4/8/2020,4,0.04
4/9/2020,5,0.05
4/10/2020,3,0.03
4/11/2020,3,0.03
4/12/2020,4,0.04
4/13/2020,4,0.04
4/14/2020,3,0.03
4/15/2020,5,0.05
4/16/2020,4,0.04
4/17/2020,4,0.04
4/18/2020,3,0.03
4/19/2020,2,0.02
4/20/2020,4,0.04
4/21/2020,3,0.03
4/22/2020,7,0.07
4/23/2020,11,0.11
4/24/2020,7,0.07
4/25/2020,5,0.05
4/26/2020,4,0.04
4/27/2020,5,0.05
4/28/2020,7,0.07
4/29/2020,6,0.06
4/30/2020,5,0.05
5/1/2020,5,0.05
5/2/2020,7,0.07
5/3/2020,6,0.06
5/4/2020,6,0.06
5/5/2020,6,0.06
5/6/2020,7,0.07
5/7/2020,7,0.07
5/8/2020,5,0.05
5/9/2020,6,0.06
5/10/2020,7,0.07
5/11/2020,7,0.07
5/12/2020,6,0.06
5/13/2020,5,0.05
5/14/2020,6,0.06
5/15/2020,4,0.04
5/16/2020,4,0.04
5/17/2020,5,0.05
5/18/2020,5,0.05
5/19/2020,5,0.05
5/20/2020,2,0.02
5/21/2020,3,0.03
5/22/2020,3,0.03
5/23/2020,4,0.04
5/24/2020,2,0.02
5/25/2020,3,0.03
5/26/2020,2,0.02
5/27/2020,3,0.03
5/28/2020,3,0.03
5/29/2020,5,0.05
5/30/2020,3,0.03
5/31/2020,6,0.06
6/1/2020,4,0.04
6/2/2020,8,0.08
6/3/2020,5,0.05
6/4/2020,5,0.05
6/5/2020,3,0.03
6/6/2020,3,0.03
6/7/2020,6,0.06
6/8/2020,3,0.03
6/9/2020,5,0.05
6/10/2020,2,0.02
6/11/2020,4,0.04
