Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2019-01-15,0.1042900675,0.1079384712,0.10915663,0.1033581494
XLM,2019-01-16,0.1059771083,0.1042904327,0.107846389,0.1042109548
XLM,2019-01-17,0.1074132367,0.1060430407,0.1089897452,0.1037082678
XLM,2019-01-18,0.1058442124,0.1074191244,0.1080876348,0.1048769511
XLM,2019-01-19,0.1069109139,0.1058422868,0.1096354842,0.1056522665
XLM,2019-01-20,0.1036577771,0.1068750252,0.107836851,0.1012476571
XLM,2019-01-21,0.1018706906,0.1036591488,0.1037679314,0.1008355164
XLM,2019-01-22,0.1024778613,0.1018752822,0.1032717313,0.0986764306
XLM,2019-01-23,0.1005706258,0.1022241785,0.1028820237,0.098994934
XLM,2019-01-24,0.1008322415,0.1008478553,0.1014011308,0.099415668
XLM,2019-01-25,0.0994860847,0.1009741747,0.1009748338,0.0982211285
XLM,2019-01-26,0.0981049557,0.0994857314,0.1037158568,0.0964705894
XLM,2019-01-27,0.093638133,0.0981054092,0.0983576577,0.0926480894
XLM,2019-01-28,0.0854116608,0.0937545469,0.094167806,0.0829644275
XLM,2019-01-29,0.0821493465,0.0856981159,0.086357512,0.0800097735
XLM,2019-01-30,0.0846680125,0.082156508,0.0873923377,0.0804246298
XLM,2019-01-31,0.081424452,0.0844767477,0.0869021652,0.0801588482
XLM,2019-02-01,0.0799322465,0.0806329164,0.0828571019,0.0779704839
XLM,2019-02-02,0.0810260243,0.0799322465,0.0815311283,0.0796859147
XLM,2019-02-03,0.0788356145,0.0810198093,0.0827402379,0.0773257417
XLM,2019-02-04,0.0777163575,0.0790874847,0.0798514455,0.077688366
XLM,2019-02-05,0.0760647665,0.0777150228,0.0779170757,0.0754201581
XLM,2019-02-06,0.0728634923,0.0761456807,0.0765328896,0.0715789843
XLM,2019-02-07,0.0738756581,0.0733765557,0.0762445348,0.0721133408
XLM,2019-02-08,0.078873574,0.0738861309,0.0824900324,0.0722851131
XLM,2019-02-09,0.0794222911,0.0804758479,0.0810004707,0.0785274899
XLM,2019-02-10,0.0787588431,0.0794187464,0.0807161268,0.0749210737
XLM,2019-02-11,0.076447987,0.0787685025,0.0800888993,0.0758169387
XLM,2019-02-12,0.0756438033,0.0764481064,0.0769916185,0.0740895977
XLM,2019-02-13,0.0755274028,0.0762783665,0.0773833201,0.074568987
XLM,2019-02-14,0.0753624152,0.0755274181,0.0759776921,0.0738905299
XLM,2019-02-15,0.0789391258,0.0754763607,0.0807192482,0.0749768747
XLM,2019-02-16,0.0773258419,0.0789330039,0.0795945248,0.0767751857
