Date,attention,attention_scaled
1/31/2019,21,0.21
2/1/2019,31,0.31
2/2/2019,37,0.37
2/3/2019,13,0.13
2/4/2019,9,0.09
2/5/2019,18,0.18
2/6/2019,20,0.2
2/7/2019,33,0.33
2/8/2019,21,0.21
2/9/2019,16,0.16
2/10/2019,23,0.23
2/11/2019,29,0.29
2/12/2019,26,0.26
2/13/2019,29,0.29
2/14/2019,18,0.18
2/15/2019,25,0.25
2/16/2019,34,0.34
2/17/2019,34,0.34
2/18/2019,30,0.3
2/19/2019,35,0.35
2/20/2019,26,0.26
2/21/2019,14,0.14
2/22/2019,15,0.15
2/23/2019,20,0.2
2/24/2019,34,0.34
2/25/2019,37,0.37
2/26/2019,30,0.3
2/27/2019,17,0.17
2/28/2019,21,0.21
3/1/2019,40,0.4
3/2/2019,30,0.3
3/3/2019,31,0.31
3/4/2019,45,0.45
3/5/2019,27,0.27
3/6/2019,29,0.29
3/7/2019,27,0.27
3/8/2019,30,0.3
3/9/2019,40,0.4
3/10/2019,35,0.35
3/11/2019,30,0.3
3/12/2019,51,0.51
3/13/2019,19,0.19
3/14/2019,43,0.43
3/15/2019,29,0.29
3/16/2019,24,0.24
3/17/2019,26,0.26
3/18/2019,26,0.26
3/19/2019,38,0.38
3/20/2019,31,0.31
3/21/2019,27,0.27
3/22/2019,33,0.33
3/23/2019,32,0.32
3/24/2019,25,0.25
3/25/2019,25,0.25
3/26/2019,34,0.34
3/27/2019,24,0.24
3/28/2019,29,0.29
3/29/2019,29,0.29
3/30/2019,32,0.32
3/31/2019,42,0.42
4/1/2019,19,0.19
4/2/2019,44,0.44
4/3/2019,40,0.4
4/4/2019,31,0.31
4/5/2019,28,0.28
4/6/2019,26,0.26
4/7/2019,52,0.52
4/8/2019,34,0.34
4/9/2019,24,0.24
4/10/2019,23,0.23
4/11/2019,31,0.31
4/12/2019,25,0.25
4/13/2019,37,0.37
4/14/2019,24,0.24
4/15/2019,27,0.27
4/16/2019,18,0.18
4/17/2019,19,0.19
4/18/2019,25,0.25
4/19/2019,33,0.33
4/20/2019,36,0.36
4/21/2019,23,0.23
4/22/2019,25,0.25
4/23/2019,20,0.2
4/24/2019,44,0.44
4/25/2019,40,0.4
4/26/2019,31,0.31
4/27/2019,40,0.4
4/28/2019,28,0.28
4/29/2019,24,0.24
4/30/2019,30,0.3
5/1/2019,20,0.2
5/2/2019,23,0.23
5/3/2019,21,0.21
5/4/2019,13,0.13
5/5/2019,24,0.24
5/6/2019,36,0.36
5/7/2019,35,0.35
5/8/2019,34,0.34
5/9/2019,31,0.31
5/10/2019,29,0.29
5/11/2019,34,0.34
5/12/2019,31,0.31
5/13/2019,38,0.38
5/14/2019,31,0.31
5/15/2019,31,0.31
5/16/2019,31,0.31
5/17/2019,34,0.34
5/18/2019,38,0.38
5/19/2019,29,0.29
5/20/2019,36,0.36
5/21/2019,24,0.24
5/22/2019,38,0.38
5/23/2019,32,0.32
5/24/2019,17,0.17
5/25/2019,40,0.4
5/26/2019,18,0.18
5/27/2019,29,0.29
5/28/2019,59,0.59
5/29/2019,21,0.21
5/30/2019,28,0.28
5/31/2019,18,0.18
6/1/2019,44,0.44
6/2/2019,17,0.17
6/3/2019,33,0.33
6/4/2019,18,0.18
6/5/2019,27,0.27
6/6/2019,23,0.23
6/7/2019,25,0.25
6/8/2019,37,0.37
6/9/2019,26,0.26
6/10/2019,24,0.24
6/11/2019,19,0.19
6/12/2019,14,0.14
6/13/2019,28,0.28
6/14/2019,8,0.08
6/15/2019,21,0.21
6/16/2019,30,0.3
6/17/2019,21,0.21
6/18/2019,32,0.32
6/19/2019,32,0.32
6/20/2019,36,0.36
6/21/2019,50,0.5
6/22/2019,59,0.59
6/23/2019,31,0.31
6/24/2019,44,0.44
6/25/2019,41,0.41
6/26/2019,53,0.53
6/27/2019,42,0.42
6/28/2019,39,0.39
6/29/2019,25,0.25
6/30/2019,28,0.28
7/1/2019,21,0.21
7/2/2019,29,0.29
7/3/2019,14,0.14
7/4/2019,31,0.31
7/5/2019,17,0.17
7/6/2019,18,0.18
7/7/2019,18,0.18
7/8/2019,10,0.1
7/9/2019,24,0.24
7/10/2019,37,0.37
7/11/2019,35,0.35
7/12/2019,14,0.14
7/13/2019,28,0.28
7/14/2019,21,0.21
7/15/2019,30,0.3
7/16/2019,33,0.33
7/17/2019,17,0.17
7/18/2019,31,0.31
7/19/2019,17,0.17
7/20/2019,13,0.13
7/21/2019,29,0.29
7/22/2019,39,0.39
7/23/2019,28,0.28
7/24/2019,25,0.25
7/25/2019,41,0.41
7/26/2019,12,0.12
7/27/2019,28,0.28
7/28/2019,28,0.28
7/29/2019,31,0.31
7/30/2019,17,0.17
7/31/2019,20,0.2
8/1/2019,14,0.14
8/2/2019,9,0.09
8/3/2019,28,0.28
8/4/2019,22,0.22
8/5/2019,22,0.22
8/6/2019,30,0.3
8/7/2019,30,0.3
8/8/2019,11,0.11
8/9/2019,34,0.34
8/10/2019,22,0.22
8/11/2019,51,0.51
8/12/2019,31,0.31
8/13/2019,22,0.22
8/14/2019,31,0.31
8/15/2019,28,0.28
8/16/2019,20,0.2
8/17/2019,6,0.06
8/18/2019,28,0.28
8/19/2019,29,0.29
8/20/2019,18,0.18
8/21/2019,11,0.11
8/22/2019,14,0.14
8/23/2019,15,0.15
8/24/2019,17,0.17
8/25/2019,27,0.27
8/26/2019,20,0.2
8/27/2019,20,0.2
8/28/2019,18,0.18
8/29/2019,18,0.18
8/30/2019,19,0.19
8/31/2019,28,0.28
9/1/2019,22,0.22
9/2/2019,32,0.32
9/3/2019,20,0.2
9/4/2019,25,0.25
9/5/2019,25,0.25
9/6/2019,18,0.18
9/7/2019,22,0.22
9/8/2019,27,0.27
9/9/2019,19,0.19
9/10/2019,22,0.22
9/11/2019,23,0.23
9/12/2019,27,0.27
9/13/2019,20,0.2
9/14/2019,10,0.1
9/15/2019,19,0.19
9/16/2019,20,0.2
9/17/2019,26,0.26
9/18/2019,33,0.33
9/19/2019,28,0.28
9/20/2019,19,0.19
9/21/2019,18,0.18
9/22/2019,23,0.23
9/23/2019,20,0.2
9/24/2019,25,0.25
9/25/2019,29,0.29
9/26/2019,12,0.12
9/27/2019,21,0.21
9/28/2019,28,0.28
9/29/2019,31,0.31
9/30/2019,14,0.14
10/1/2019,15,0.15
10/2/2019,20,0.2
10/3/2019,11,0.11
10/4/2019,21,0.21
10/5/2019,9,0.09
10/6/2019,11,0.11
10/7/2019,17,0.17
10/8/2019,23,0.23
10/9/2019,14,0.14
10/10/2019,27,0.27
10/11/2019,18,0.18
10/12/2019,11,0.11
10/13/2019,18,0.18
10/14/2019,24,0.24
10/15/2019,11,0.11
10/16/2019,8,0.08
10/17/2019,21,0.21
10/18/2019,23,0.23
10/19/2019,18,0.18
10/20/2019,20,0.2
10/21/2019,22,0.22
10/22/2019,14,0.14
10/23/2019,23,0.23
10/24/2019,15,0.15
10/25/2019,14,0.14
10/26/2019,15,0.15
10/27/2019,25,0.25
10/28/2019,12,0.12
10/29/2019,27,0.27
10/30/2019,12,0.12
10/31/2019,19,0.19
11/1/2019,7,0.07
11/2/2019,16,0.16
11/3/2019,19,0.19
11/4/2019,21,0.21
11/5/2019,25,0.25
11/6/2019,15,0.15
11/7/2019,20,0.2
11/8/2019,24,0.24
11/9/2019,32,0.32
11/10/2019,18,0.18
11/11/2019,17,0.17
11/12/2019,14,0.14
11/13/2019,18,0.18
11/14/2019,32,0.32
11/15/2019,20,0.2
11/16/2019,30,0.3
11/17/2019,21,0.21
11/18/2019,21,0.21
11/19/2019,19,0.19
11/20/2019,20,0.2
11/21/2019,23,0.23
11/22/2019,21,0.21
11/23/2019,17,0.17
11/24/2019,12,0.12
11/25/2019,16,0.16
11/26/2019,18,0.18
11/27/2019,16,0.16
11/28/2019,19,0.19
11/29/2019,16,0.16
11/30/2019,28,0.28
12/1/2019,33,0.33
12/2/2019,22,0.22
12/3/2019,20,0.2
12/4/2019,37,0.37
12/5/2019,15,0.15
12/6/2019,13,0.13
12/7/2019,17,0.17
12/8/2019,12,0.12
12/9/2019,19,0.19
12/10/2019,21,0.21
12/11/2019,14,0.14
12/12/2019,11,0.11
12/13/2019,15,0.15
12/14/2019,9,0.09
12/15/2019,26,0.26
12/16/2019,21,0.21
12/17/2019,25,0.25
12/18/2019,12,0.12
12/19/2019,15,0.15
12/20/2019,11,0.11
12/21/2019,17,0.17
12/22/2019,21,0.21
12/23/2019,5,0.05
12/24/2019,31,0.31
12/25/2019,16,0.16
12/26/2019,9,0.09
12/27/2019,18,0.18
12/28/2019,9,0.09
12/29/2019,9,0.09
12/30/2019,13,0.13
12/31/2019,17,0.17
1/1/2020,17,0.17
1/2/2020,22,0.22
1/3/2020,8,0.08
1/4/2020,20,0.2
1/5/2020,11,0.11
1/6/2020,21,0.21
1/7/2020,26,0.26
1/8/2020,30,0.3
1/9/2020,18,0.18
1/10/2020,10,0.1
1/11/2020,16,0.16
1/12/2020,18,0.18
1/13/2020,9,0.09
1/14/2020,12,0.12
1/15/2020,25,0.25
1/16/2020,16,0.16
1/17/2020,8,0.08
1/18/2020,18,0.18
1/19/2020,16,0.16
1/20/2020,20,0.2
1/21/2020,8,0.08
1/22/2020,12,0.12
1/23/2020,22,0.22
1/24/2020,10,0.1
1/25/2020,23,0.23
1/26/2020,33,0.33
1/27/2020,23,0.23
1/28/2020,16,0.16
1/29/2020,24,0.24
1/30/2020,24,0.24
1/31/2020,8,0.08
2/1/2020,14,0.14
2/2/2020,31,0.31
2/3/2020,17,0.17
2/4/2020,18,0.18
2/5/2020,20,0.2
2/6/2020,22,0.22
2/7/2020,23,0.23
2/8/2020,22,0.22
2/9/2020,26,0.26
2/10/2020,25,0.25
2/11/2020,29,0.29
2/12/2020,27,0.27
2/13/2020,15,0.15
2/14/2020,17,0.17
2/15/2020,18,0.18
2/16/2020,19,0.19
2/17/2020,35,0.35
2/18/2020,29,0.29
2/19/2020,33,0.33
2/20/2020,16,0.16
2/21/2020,12,0.12
2/22/2020,13,0.13
2/23/2020,39,0.39
2/24/2020,9,0.09
2/25/2020,21,0.21
2/26/2020,20,0.2
2/27/2020,17,0.17
2/28/2020,18,0.18
2/29/2020,18,0.18
3/1/2020,15,0.15
3/2/2020,8,0.08
3/3/2020,28,0.28
3/4/2020,17,0.17
3/5/2020,16,0.16
3/6/2020,24,0.24
3/7/2020,18,0.18
3/8/2020,18,0.18
3/9/2020,29,0.29
3/10/2020,20,0.2
3/11/2020,13,0.13
3/12/2020,26,0.26
3/13/2020,7,0.07
3/14/2020,21,0.21
3/15/2020,30,0.3
3/16/2020,18,0.18
3/17/2020,18,0.18
