Date,attention,attention_scaled
1/31/2019,9,0.09
2/1/2019,7,0.07
2/2/2019,14,0.14
2/3/2019,11,0.11
2/4/2019,12,0.12
2/5/2019,12,0.12
2/6/2019,7,0.07
2/7/2019,9,0.09
2/8/2019,29,0.29
2/9/2019,25,0.25
2/10/2019,24,0.24
2/11/2019,15,0.15
2/12/2019,12,0.12
2/13/2019,16,0.16
2/14/2019,13,0.13
2/15/2019,13,0.13
2/16/2019,12,0.12
2/17/2019,8,0.08
2/18/2019,15,0.15
2/19/2019,14,0.14
2/20/2019,12,0.12
2/21/2019,15,0.15
2/22/2019,11,0.11
2/23/2019,9,0.09
2/24/2019,17,0.17
2/25/2019,12,0.12
2/26/2019,15,0.15
2/27/2019,13,0.13
2/28/2019,11,0.11
3/1/2019,13,0.13
3/2/2019,12,0.12
3/3/2019,10,0.1
3/4/2019,9,0.09
3/5/2019,17,0.17
3/6/2019,21,0.21
3/7/2019,18,0.18
3/8/2019,16,0.16
3/9/2019,18,0.18
3/10/2019,13,0.13
3/11/2019,11,0.11
3/12/2019,11,0.11
3/13/2019,11,0.11
3/14/2019,11,0.11
3/15/2019,10,0.1
3/16/2019,18,0.18
3/17/2019,16,0.16
3/18/2019,12,0.12
3/19/2019,15,0.15
3/20/2019,9,0.09
3/21/2019,14,0.14
3/22/2019,10,0.1
3/23/2019,12,0.12
3/24/2019,13,0.13
3/25/2019,9,0.09
3/26/2019,10,0.1
3/27/2019,9,0.09
3/28/2019,12,0.12
3/29/2019,11,0.11
3/30/2019,12,0.12
3/31/2019,10,0.1
4/1/2019,10,0.1
4/2/2019,28,0.28
4/3/2019,40,0.4
4/4/2019,27,0.27
4/5/2019,22,0.22
4/6/2019,21,0.21
4/7/2019,18,0.18
4/8/2019,21,0.21
4/9/2019,17,0.17
4/10/2019,16,0.16
4/11/2019,17,0.17
4/12/2019,14,0.14
4/13/2019,10,0.1
4/14/2019,13,0.13
4/15/2019,13,0.13
4/16/2019,10,0.1
4/17/2019,12,0.12
4/18/2019,13,0.13
4/19/2019,13,0.13
4/20/2019,12,0.12
4/21/2019,10,0.1
4/22/2019,13,0.13
4/23/2019,15,0.15
4/24/2019,13,0.13
4/25/2019,13,0.13
4/26/2019,12,0.12
4/27/2019,11,0.11
4/28/2019,12,0.12
4/29/2019,13,0.13
4/30/2019,12,0.12
5/1/2019,13,0.13
5/2/2019,13,0.13
5/3/2019,17,0.17
5/4/2019,12,0.12
5/5/2019,11,0.11
5/6/2019,11,0.11
5/7/2019,14,0.14
5/8/2019,11,0.11
5/9/2019,15,0.15
5/10/2019,14,0.14
5/11/2019,25,0.25
5/12/2019,23,0.23
5/13/2019,19,0.19
5/14/2019,24,0.24
5/15/2019,28,0.28
5/16/2019,26,0.26
5/17/2019,19,0.19
5/18/2019,15,0.15
5/19/2019,14,0.14
5/20/2019,17,0.17
5/21/2019,16,0.16
5/22/2019,14,0.14
5/23/2019,14,0.14
5/24/2019,26,0.26
5/25/2019,21,0.21
5/26/2019,22,0.22
5/27/2019,31,0.31
5/28/2019,27,0.27
5/29/2019,28,0.28
5/30/2019,27,0.27
5/31/2019,22,0.22
6/1/2019,18,0.18
6/2/2019,17,0.17
6/3/2019,18,0.18
6/4/2019,18,0.18
6/5/2019,16,0.16
6/6/2019,14,0.14
6/7/2019,32,0.32
6/8/2019,24,0.24
6/9/2019,19,0.19
6/10/2019,30,0.3
6/11/2019,40,0.4
6/12/2019,51,0.51
6/13/2019,34,0.34
6/14/2019,29,0.29
6/15/2019,34,0.34
6/16/2019,36,0.36
6/17/2019,28,0.28
6/18/2019,30,0.3
6/19/2019,22,0.22
6/20/2019,28,0.28
6/21/2019,23,0.23
6/22/2019,36,0.36
6/23/2019,31,0.31
6/24/2019,32,0.32
6/25/2019,31,0.31
6/26/2019,41,0.41
6/27/2019,33,0.33
6/28/2019,25,0.25
6/29/2019,25,0.25
6/30/2019,24,0.24
7/1/2019,21,0.21
7/2/2019,22,0.22
7/3/2019,16,0.16
7/4/2019,18,0.18
7/5/2019,15,0.15
7/6/2019,17,0.17
7/7/2019,19,0.19
7/8/2019,18,0.18
7/9/2019,18,0.18
7/10/2019,22,0.22
7/11/2019,24,0.24
7/12/2019,20,0.2
7/13/2019,20,0.2
7/14/2019,23,0.23
7/15/2019,25,0.25
7/16/2019,20,0.2
7/17/2019,27,0.27
7/18/2019,22,0.22
7/19/2019,20,0.2
7/20/2019,18,0.18
7/21/2019,17,0.17
7/22/2019,17,0.17
7/23/2019,16,0.16
7/24/2019,16,0.16
7/25/2019,15,0.15
7/26/2019,12,0.12
7/27/2019,12,0.12
7/28/2019,13,0.13
7/29/2019,19,0.19
7/30/2019,12,0.12
7/31/2019,21,0.21
8/1/2019,22,0.22
8/2/2019,16,0.16
8/3/2019,16,0.16
8/4/2019,18,0.18
8/5/2019,34,0.34
8/6/2019,18,0.18
8/7/2019,17,0.17
8/8/2019,13,0.13
8/9/2019,16,0.16
8/10/2019,15,0.15
8/11/2019,16,0.16
8/12/2019,12,0.12
8/13/2019,12,0.12
8/14/2019,14,0.14
8/15/2019,15,0.15
8/16/2019,19,0.19
8/17/2019,9,0.09
8/18/2019,14,0.14
8/19/2019,13,0.13
8/20/2019,10,0.1
8/21/2019,12,0.12
8/22/2019,14,0.14
8/23/2019,14,0.14
8/24/2019,11,0.11
8/25/2019,12,0.12
8/26/2019,14,0.14
8/27/2019,10,0.1
8/28/2019,14,0.14
8/29/2019,18,0.18
8/30/2019,15,0.15
8/31/2019,10,0.1
9/1/2019,12,0.12
9/2/2019,10,0.1
9/3/2019,14,0.14
9/4/2019,14,0.14
9/5/2019,15,0.15
9/6/2019,12,0.12
9/7/2019,12,0.12
9/8/2019,13,0.13
9/9/2019,11,0.11
9/10/2019,10,0.1
9/11/2019,12,0.12
9/12/2019,13,0.13
9/13/2019,11,0.11
9/14/2019,13,0.13
9/15/2019,13,0.13
9/16/2019,11,0.11
9/17/2019,16,0.16
9/18/2019,18,0.18
9/19/2019,15,0.15
9/20/2019,11,0.11
9/21/2019,8,0.08
9/22/2019,10,0.1
9/23/2019,12,0.12
9/24/2019,20,0.2
9/25/2019,15,0.15
9/26/2019,17,0.17
9/27/2019,13,0.13
9/28/2019,9,0.09
9/29/2019,10,0.1
9/30/2019,9,0.09
10/1/2019,10,0.1
10/2/2019,9,0.09
10/3/2019,8,0.08
10/4/2019,9,0.09
10/5/2019,8,0.08
10/6/2019,12,0.12
10/7/2019,12,0.12
10/8/2019,9,0.09
10/9/2019,9,0.09
10/10/2019,11,0.11
10/11/2019,6,0.06
10/12/2019,10,0.1
10/13/2019,9,0.09
10/14/2019,9,0.09
10/15/2019,9,0.09
10/16/2019,9,0.09
10/17/2019,8,0.08
10/18/2019,11,0.11
10/19/2019,9,0.09
10/20/2019,10,0.1
10/21/2019,7,0.07
10/22/2019,8,0.08
10/23/2019,9,0.09
10/24/2019,8,0.08
10/25/2019,12,0.12
10/26/2019,12,0.12
10/27/2019,11,0.11
10/28/2019,12,0.12
10/29/2019,14,0.14
10/30/2019,10,0.1
10/31/2019,9,0.09
11/1/2019,8,0.08
11/2/2019,10,0.1
11/3/2019,8,0.08
11/4/2019,12,0.12
11/5/2019,10,0.1
11/6/2019,12,0.12
11/7/2019,11,0.11
11/8/2019,10,0.1
11/9/2019,9,0.09
11/10/2019,10,0.1
11/11/2019,8,0.08
11/12/2019,10,0.1
11/13/2019,10,0.1
11/14/2019,7,0.07
11/15/2019,7,0.07
11/16/2019,8,0.08
11/17/2019,10,0.1
11/18/2019,7,0.07
11/19/2019,9,0.09
11/20/2019,8,0.08
11/21/2019,12,0.12
11/22/2019,11,0.11
11/23/2019,10,0.1
