,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,
0,0.46416475,0.391488147,0.451786954,0.493217352,0.55100502,0.521530081,0.538595416,0.422234617,0.312961467,0.272406735,0.405685993,0.376428164,0.335367329,0.342169547,0.340101791,0.398006245,0.496847088,0.544129819,0.621796085,0.819240981,0.827690645,0.719214252,0.575841554,0.530216998,0.517508288,0.537163293,0.441365526,0.430702055,0.418867926,0.363513169,,0.272406735,0.827690645
1,0.401823364,0.468037169,0.399734595,0.287105907,0.345306999,0.243494061,0.2026447,0.226910525,0.235915758,0.153804729,0.188286058,0.148287967,0.111529895,0.151849927,0.150100329,0.20976984,0.150918432,0.193805622,0.268203506,0.273539305,0.32700821,0.365768662,0.47913612,0.541217214,0.497695467,0.517946431,0.467595262,0.576206845,0.600859748,0.39870003,,0.111529895,0.600859748
2,0.342625155,0.379921836,0.292847528,0.234158553,0.219223833,0.219697579,0.189789035,0.144531829,0.097386006,0.10523544,0.091096001,0.085970978,0.074418513,0.099703379,0.078740507,0.076288009,0.089153527,0.095257932,0.099909614,0.122320609,0.156092825,0.18301929,0.20067347,0.216481409,0.236390032,0.271719632,0.243728334,0.23490284,0.305231565,0.254510086,,0.074418513,0.379921836
3,0.433462458,0.474077334,0.390826114,0.365942429,0.30813135,0.406054377,0.314489855,0.438817904,0.392205654,0.519174938,0.523297905,0.504073029,0.617514359,0.779744949,1.095550294,1.099866281,0.680335092,0.72047726,0.554765059,0.534831622,0.607623683,0.582310872,0.308758575,0.421985104,0.526478747,0.623387292,0.497774786,0.681072189,0.537640351,0.718824233,,0.30813135,1.099866281
4,0.401700133,0.277494935,0.320804448,0.313337264,0.298411347,0.208372967,0.115230106,0.117538563,0.104870897,0.124936517,0.104127452,0.088980641,0.10022098,0.097250603,0.082917742,0.09786465,0.103026659,0.087900365,0.077321161,0.094926963,0.116060946,0.135620178,0.104350219,0.102868283,0.100326403,0.105366617,0.136505358,0.135293432,0.129864321,0.141316004,,0.077321161,0.401700133
5,0.517498196,0.53689256,0.533376772,0.773820552,0.985598371,0.999457743,1.083964879,1.002712647,0.96594844,1.07458435,0.924059998,0.994611553,1.242960923,1.119280953,0.864634735,0.588004321,0.492352957,0.496943652,0.53566635,0.57428875,0.471879605,0.445606535,0.383132843,0.371977979,0.460647678,0.527802159,0.567094463,0.473220773,0.340435171,0.367051514,,0.340435171,1.242960923
6,0.395822432,0.432147159,0.376881266,0.405588546,0.492335541,0.439329328,0.360130116,0.42465281,0.344868092,0.318923575,0.268224968,0.234834989,0.28056443,0.350075751,0.255790853,0.22425885,0.223824976,0.234853963,0.235779782,0.198858844,0.156828429,0.192232144,0.186059595,0.207188413,0.181228262,0.150155557,0.1634998,0.168151853,0.143392272,0.144218204,,0.143392272,0.492335541
7,0.401416595,0.383969523,0.421161647,0.350721743,0.244207709,0.187145425,0.18010343,0.183230275,0.200890484,0.147363262,0.19275576,0.216468596,0.19250054,0.221496916,0.280641116,0.323216327,0.326976784,0.334225042,0.327791439,0.403342929,0.509527673,0.409065334,0.435961545,0.478538125,0.320399226,0.372457168,0.398551575,0.405130217,0.460617793,0.484672674,,0.147363262,0.509527673
8,0.365619631,0.32281859,0.330579525,0.382705893,0.426752663,0.467532916,0.466517186,0.502023366,0.434292978,0.316824118,0.341054196,0.346991523,0.365499473,0.431335548,0.389686508,0.317851089,0.259750574,0.274983165,0.214485235,0.169506774,0.176067292,0.169792622,0.184264816,0.158919848,0.106219049,0.073876587,0.057832991,0.052633483,0.054132642,0.079183778,,0.052633483,0.502023366
9,0.445993659,0.400086843,0.461454263,0.276168384,0.267593389,0.312297567,0.257084687,0.254959357,0.314660308,0.340849122,0.329381236,0.448937895,0.474320325,0.525130737,0.559007719,0.735468101,0.856259533,1.167407194,1.055072485,1.261058891,1.212168631,1.331771609,0.923669015,1.112918822,1.18318306,1.028946321,1.087338485,1.0430189,0.813197179,0.891697666,,0.254959357,1.331771609
